tick openCount fleetSize meanLoad peakLoad lockups overCapShare
0 120000 7548459 0.5241985416666667 0.95 0 0.23056666666666667
1 120000 7550821 0.5243625694444445 0.975 0 0.212325
2 120000 7552978 0.5245123611111111 0.95 0 0.19331666666666666
3 120000 7554961 0.5246500694444445 0.9416666666666667 0 0.16985
4 120000 7556691 0.5247702083333333 0.9166666666666666 0 0.14320833333333333
5 120000 7558230 0.5248770833333334 0.9166666666666666 0 0.11089166666666667
6 120000 7559476 0.5249636111111111 0.9083333333333333 0 0.071425
7 120000 7560498 0.5250345833333333 0.9083333333333333 0 0.0489
8 120000 7561346 0.5250934722222222 0.8833333333333333 0 0.035708333333333335
9 120000 7561949 0.5251353472222222 0.875 0 0.02880833333333333
10 120000 7562376 0.525165 0.8666666666666667 0 0.024266666666666666
11 120000 7562635 0.5251829861111111 0.8833333333333333 0 0.021658333333333335
12 120000 7562824 0.5251961111111111 0.85 0 0.019266666666666668
13 120000 7562941 0.5252042361111111 0.825 0 0.018008333333333335
14 120000 7563010 0.5252090277777778 0.8333333333333334 0 0.016583333333333332
15 120000 7562946 0.5252045833333333 0.825 0 0.015441666666666666
16 120000 7563010 0.5252090277777778 0.8166666666666667 0 0.014366666666666666
17 120000 7562926 0.5252031944444444 0.8083333333333333 0 0.013275
18 120000 7563027 0.5252102083333333 0.8166666666666667 0 0.012583333333333334
19 120000 7563025 0.5252100694444445 0.8083333333333333 0 0.011325
20 120000 7562962 0.5252056944444444 0.7916666666666666 0 0.010791666666666666
21 120000 7562983 0.5252071527777779 0.8 0 0.010191666666666667
22 120000 7562914 0.5252023611111111 0.7833333333333333 0 0.0101
23 120000 7562924 0.5252030555555556 0.7833333333333333 0 0.009108333333333333
24 120000 7562897 0.5252011805555555 0.7916666666666666 0 0.008333333333333333
25 120000 7562899 0.5252013194444445 0.7833333333333333 0 0.008191666666666667
26 120000 7562955 0.5252052083333333 0.775 0 0.007808333333333333
27 120000 7562930 0.5252034722222222 0.7833333333333333 0 0.007566666666666667
28 120000 7562881 0.5252000694444444 0.7833333333333333 0 0.006691666666666667
29 120000 7562875 0.5251996527777778 0.7833333333333333 0 0.006791666666666666
30 120000 7562869 0.5251992361111111 0.7833333333333333 0 0.0062833333333333335
31 120000 7562927 0.5252032638888889 0.7833333333333333 0 0.005716666666666667
32 120000 7562956 0.5252052777777778 0.775 0 0.0052833333333333335
33 120000 7562971 0.5252063194444444 0.775 0 0.005625
34 120000 7563003 0.5252085416666666 0.7666666666666667 0 0.005175
35 120000 7562989 0.5252075694444445 0.775 0 0.004916666666666666
36 120000 7563006 0.52520875 0.775 0 0.004866666666666667
37 120000 7563087 0.525214375 0.775 0 0.004575
38 120000 7563067 0.5252129861111111 0.775 0 0.003941666666666666
39 120000 7563006 0.52520875 0.775 0 0.004125
40 120000 7562992 0.5252077777777778 0.7666666666666667 0 0.004141666666666667
41 120000 7562952 0.525205 0.775 0 0.003991666666666667
42 120000 7562935 0.5252038194444445 0.775 0 0.003841666666666667
43 120000 7563050 0.5252118055555556 0.7666666666666667 0 0.0036166666666666665
44 120000 7563011 0.5252090972222222 0.7666666666666667 0 0.0037083333333333334
45 120000 7562985 0.5252072916666667 0.7666666666666667 0 0.003341666666666667
