tick openCount fleetSize meanLoad peakLoad lockups overCapShare
0 12000 757780 0.5262361111111111 0.95 0 0.23333333333333334
1 12000 758015 0.5263993055555556 0.95 0 0.21483333333333332
2 12000 758241 0.5265562500000001 0.925 0 0.19525
3 12000 758435 0.5266909722222223 0.9083333333333333 0 0.17441666666666666
4 12000 758618 0.5268180555555555 0.8916666666666667 0 0.1455
5 12000 758760 0.5269166666666667 0.8833333333333333 0 0.1145
6 12000 758890 0.5270069444444444 0.8583333333333333 0 0.07208333333333333
7 12000 758986 0.5270736111111111 0.8416666666666667 0 0.04758333333333333
8 12000 759048 0.5271166666666667 0.8333333333333334 0 0.037
9 12000 759101 0.5271534722222222 0.8166666666666667 0 0.027333333333333334
10 12000 759140 0.5271805555555555 0.8166666666666667 0 0.022833333333333334
11 12000 759200 0.5272222222222223 0.8083333333333333 0 0.021416666666666667
12 12000 759225 0.5272395833333333 0.7916666666666666 0 0.018166666666666668
13 12000 759258 0.5272625 0.7916666666666666 0 0.01775
14 12000 759237 0.5272479166666667 0.7833333333333333 0 0.016833333333333332
15 12000 759237 0.5272479166666667 0.7916666666666666 0 0.01633333333333333
16 12000 759233 0.5272451388888889 0.775 0 0.0125
17 12000 759233 0.5272451388888889 0.775 0 0.01125
18 12000 759223 0.5272381944444444 0.7666666666666667 0 0.013
19 12000 759221 0.5272368055555556 0.775 0 0.011416666666666667
20 12000 759248 0.5272555555555556 0.7833333333333333 0 0.009583333333333333
21 12000 759240 0.52725 0.775 0 0.0095
22 12000 759238 0.5272486111111111 0.775 0 0.010083333333333333
23 12000 759241 0.5272506944444444 0.775 0 0.00875
24 12000 759248 0.5272555555555556 0.7666666666666667 0 0.009666666666666667
25 12000 759247 0.5272548611111111 0.775 0 0.0095
26 12000 759239 0.5272493055555556 0.7666666666666667 0 0.006333333333333333
27 12000 759264 0.5272666666666667 0.7666666666666667 0 0.007916666666666667
28 12000 759261 0.5272645833333334 0.7666666666666667 0 0.006333333333333333
29 12000 759259 0.5272631944444445 0.7666666666666667 0 0.006166666666666667
30 12000 759268 0.5272694444444445 0.7666666666666667 0 0.005916666666666666
31 12000 759226 0.5272402777777778 0.7666666666666667 0 0.007
32 12000 759224 0.5272388888888889 0.7666666666666667 0 0.0065
33 12000 759232 0.5272444444444444 0.7666666666666667 0 0.005916666666666666
34 12000 759247 0.5272548611111111 0.7666666666666667 0 0.004833333333333334
35 12000 759240 0.52725 0.7666666666666667 0 0.00475
36 12000 759239 0.5272493055555556 0.7666666666666667 0 0.00475
37 12000 759214 0.5272319444444444 0.7666666666666667 0 0.005666666666666667
38 12000 759212 0.5272305555555555 0.7666666666666667 0 0.00425
39 12000 759200 0.5272222222222223 0.7666666666666667 0 0.004583333333333333
40 12000 759206 0.527226388888889 0.7666666666666667 0 0.00375
41 12000 759217 0.5272340277777778 0.7666666666666667 0 0.003416666666666667
42 12000 759215 0.5272326388888889 0.7583333333333333 0 0.0033333333333333335
43 12000 759212 0.5272305555555555 0.7583333333333333 0 0.0026666666666666666
44 12000 759220 0.5272361111111111 0.7666666666666667 0 0.00275
45 12000 759221 0.5272368055555556 0.7666666666666667 0 0.003
