tick dispatched arrived stranded diverted divertShare avgHops
0 0 0 0 0 0.0 0.0
1 250 15 0 0 0.0 1.0
2 500 39 0 0 0.0 1.4102564102564104
3 750 95 0 6 0.06315789473684211 1.8421052631578947
4 1000 162 0 13 0.08024691358024691 2.265432098765432
5 1250 270 0 29 0.10740740740740741 2.6074074074074076
6 1500 390 0 49 0.12564102564102564 2.9692307692307693
7 1750 544 0 75 0.13786764705882354 3.358455882352941
8 2000 732 0 99 0.13524590163934427 3.7472677595628414
9 2250 929 0 136 0.14639397201291712 4.057050592034446
10 2500 1140 0 169 0.1482456140350877 4.340350877192982
11 2750 1330 0 217 0.1631578947368421 4.50827067669173
12 3000 1555 0 263 0.16913183279742766 4.697106109324759
13 3250 1772 0 312 0.17607223476297967 4.897291196388262
14 3500 2027 16 394 0.1943759250123335 5.095214602861372
15 3750 2269 24 459 0.20229175848391362 5.246364037020714
16 4000 2506 41 521 0.20790103750997604 5.3619313647246605
17 4250 2743 54 580 0.2114473204520598 5.465913233685746
18 4500 2990 67 647 0.21638795986622072 5.558862876254181
19 4750 3233 76 710 0.21961026909990722 5.610578410145376
20 5000 3442 90 762 0.22138291690877396 5.630156885531668
21 5250 3683 107 837 0.22726038555525388 5.721422753190334
22 5500 3921 121 912 0.2325937260902831 5.773017087477684
23 5750 4158 131 971 0.23352573352573353 5.81024531024531
24 6000 4388 144 1028 0.23427529626253418 5.8495897903372835
25 6250 4627 156 1089 0.23535768316403718 5.87853901015777
26 6500 4878 163 1147 0.23513735137351374 5.891143911439114
27 6750 5090 176 1198 0.23536345776031434 5.906679764243615
28 7000 5325 194 1262 0.23699530516431924 5.952300469483568
29 7250 5562 209 1324 0.2380438691118303 5.972491909385114
30 7500 5792 220 1387 0.2394682320441989 5.996374309392265
31 7750 6074 230 1463 0.24086269344748107 6.026671056964109
32 8000 6309 247 1517 0.2404501505785386 6.054049770169599
33 8250 6543 255 1584 0.24209078404401652 6.074125019104386
34 8500 6767 266 1639 0.24220481749667505 6.081129008423231
35 8750 7016 274 1713 0.24415621436716078 6.086659064994299
36 9000 7259 282 1786 0.2460393993663039 6.108692657390825
37 9250 7526 290 1871 0.24860483656656923 6.1173266011161305
38 9500 7768 300 1932 0.24871266735324407 6.12062306900103
39 9750 8021 309 1993 0.24847275900760504 6.140007480364044
40 10000 8249 325 2059 0.24960601285004244 6.145472178445872
41 10250 8479 334 2135 0.2517985611510791 6.164052364665644
42 10500 8717 348 2200 0.2523804061030171 6.170586210852357
43 10750 8958 360 2268 0.2531815137307435 6.170238892609958
44 11000 9192 368 2329 0.25337249782419496 6.176348999129678
45 11250 9429 380 2396 0.25410966168204474 6.18909746526673
