tick lo hi live mean spread devi
0 0.0009921269018751122 0.9992554694939412 1200 0.5078578135649748 0.08436014635647396 0.29044818187841004
1 0.027181828151031984 0.921519094583565 1200 0.5078578135649748 0.026108000060210156 0.16157970188179627
2 0.20907411569557718 0.8756229231966405 1200 0.5078578135649748 0.010738579359212283 0.10362711691064401
3 0.30917218535230473 0.7647548489406717 1200 0.5078578135649748 0.005550470311791246 0.07450147858795318
4 0.33508924450882704 0.7170799517638392 1200 0.5078578135649748 0.0038898319285309863 0.062368517126279235
5 0.35135021866622784 0.7049468565191617 1200 0.5078578135649748 0.0028889570162062366 0.05374901874645003
6 0.37582715304601205 0.6747866012232756 1200 0.5078578135649748 0.0022763030330094735 0.04771061761295355
7 0.3811338479413915 0.6683075502926682 1200 0.5078578135649748 0.00182989792888006 0.042777306236836135
8 0.3868042152875704 0.6448044636282664 1200 0.5078578135649748 0.0015327593376261743 0.03915047046494045
9 0.41140763341829667 0.6368990553803315 1200 0.5078578135649748 0.0012820244100032008 0.03580536845227543
10 0.4231156705300686 0.6343301310024805 1200 0.5078578135649748 0.0010817164316670853 0.03288945775878777
11 0.429638942103749 0.6330456688135548 1200 0.5078578135649748 0.0009337561089115245 0.03055742313925578
12 0.43112608845326855 0.6215525725989594 1200 0.5078578135649748 0.0008172807468638072 0.028588122478816393
13 0.43142325486940936 0.6069541478096996 1200 0.5078578135649748 0.0007064436924029276 0.02657900849172007
14 0.4384740003829125 0.5981262462364544 1200 0.5078578135649748 0.0006138047906770865 0.02477508407003065
15 0.4419041862548232 0.5859961214000752 1200 0.5078578135649748 0.0005543309377819661 0.02354423364184883
16 0.4468781816164887 0.5855092368396955 1200 0.5078578135649748 0.00049929957452927 0.022345012296467192
17 0.4474519198040078 0.5812461560383186 1200 0.5078578135649748 0.00044458115827275546 0.02108509327161622
18 0.44808235175435285 0.5698187995241775 1200 0.5078578135649748 0.0003972435044963023 0.019930968478634004
19 0.44979603083643566 0.5661348278207075 1200 0.5078578135649748 0.00035329709714347656 0.018796199007870624
20 0.45027597238539163 0.5636741499842296 1200 0.5078578135649748 0.00030810116324702936 0.017552810693647596
21 0.45100901806092275 0.5624438110659906 1200 0.5078578135649748 0.0002767365214421172 0.01663539964780279
22 0.4563592297667467 0.5536637164305221 1200 0.5078578135649748 0.00024548732761988686 0.015668035218874346
23 0.4573595357831892 0.5536637164305221 1200 0.5078578135649748 0.00022298936007577512 0.014932828267805637
24 0.4578133572220967 0.5469448381039945 1200 0.5078578135649748 0.00020106210065223054 0.014179636830759472
25 0.4591326815715307 0.5436643933329559 1200 0.5078578135649748 0.0001822325873445373 0.013499355071429794
26 0.4605448485377208 0.5405937960335506 1200 0.5078578135649748 0.00016499728666082475 0.01284512696164677
27 0.46197507800712956 0.539142046140952 1200 0.5078578135649748 0.00015166832957754783 0.012315369648433125
28 0.46305054186356176 0.5357130607858221 1200 0.5078578135649748 0.00013854968869418408 0.011770713176956785
29 0.4638210644343965 0.532629055357676 1200 0.5078578135649748 0.00012566259815879413 0.01120993301312698
30 0.4656541604532989 0.5319095009914186 1200 0.5078578135649748 0.00011455793935410896 0.010703174265334044
31 0.4682092873483843 0.5312469454804075 1200 0.5078578135649748 0.0001055273131910112 0.010272648791378552
32 0.46960163712221725 0.5290187478355323 1200 0.5078578135649748 9.670973576651413e-05 0.009834110827447194
33 0.4708330537676857 0.5283733583615626 1200 0.5078578135649748 8.93565633775065e-05 0.00945286006336212
34 0.4716922035373685 0.5269100628874465 1200 0.5078578135649748 8.008543480936624e-05 0.008949046586612802
35 0.47362639142562907 0.524914333721328 1200 0.507857813564975 7.420848036162651e-05 0.00861443441913783
36 0.4737826254880759 0.5242137913785424 1200 0.5078578135649748 6.760749890560114e-05 0.008222377934977274
37 0.47395268312469807 0.5232777387596431 1200 0.5078578135649748 6.236505529130566e-05 0.007897154885862736
38 0.4746205345324884 0.5216765735996018 1200 0.5078578135649748 5.6412733995797974e-05 0.007510841097759823
39 0.47514115437513565 0.5210043653494449 1200 0.5078578135649748 5.152666929739156e-05 0.007178207944702602
40 0.4774456244733114 0.5203752179547279 1200 0.507857813564975 4.717627072477412e-05 0.006868498433047366
41 0.4793695962898039 0.5199695109250706 1200 0.507857813564975 4.352554563361603e-05 0.006597389304385184
42 0.47958121750286264 0.5194890168855801 1200 0.507857813564975 4.037006301294672e-05 0.006353744015377604
43 0.4802636098012564 0.5192762178901211 1200 0.507857813564975 3.7253164827014624e-05 0.006103537075091346
44 0.4802636098012564 0.5192559636806908 1200 0.507857813564975 3.439996912533923e-05 0.005865148687402497
45 0.4804643614277429 0.5184348720227593 1200 0.507857813564975 3.1829548360934605e-05 0.005641768194541017
