tick dispatched arrived stranded diverted divertShare avgHops
0 0 0 0 0 0.0 0.0
1 2500 138 0 0 0.0 1.0
2 5000 481 0 20 0.04158004158004158 1.3825363825363826
3 7500 998 0 76 0.07615230460921844 1.8076152304609219
4 10000 1768 0 161 0.09106334841628959 2.1481900452488687
5 12500 2729 0 308 0.11286185415903262 2.4950531330157566
6 15000 3983 0 517 0.12980165704243032 2.9030881245292495
7 17500 5461 0 773 0.14154916681926388 3.271928218275041
8 20000 7113 0 1105 0.15534936032616337 3.6316603402221284
9 22500 9010 0 1502 0.1667036625971143 3.95338512763596
10 25000 11083 0 1957 0.17657673915004962 4.266805016692231
11 27500 13324 0 2513 0.18860702491744222 4.539402581807265
12 30000 15635 0 3090 0.19763351455068756 4.777614326830828
13 32500 18018 0 3699 0.20529470529470528 4.993728493728494
14 35000 20323 126 4312 0.21217339959651627 5.164148993750922
15 37500 22766 247 4940 0.21699024861635774 5.298471404726346
16 40000 25091 358 5525 0.22019847754174804 5.409310111195249
17 42500 27545 488 6221 0.22584861136322382 5.503757487747323
18 45000 29860 572 6828 0.22866711319490957 5.583087742799732
19 47500 32250 684 7430 0.2303875968992248 5.645302325581396
20 50000 34680 817 8054 0.23223760092272203 5.703316032295271
21 52500 37045 931 8676 0.23420164664597112 5.753758941827507
22 55000 39498 1047 9303 0.2355309129576181 5.792318598410046
23 57500 41880 1155 9934 0.23720152817574022 5.832545367717287
24 60000 44291 1271 10539 0.23794901898805626 5.870334831004041
25 62500 46684 1376 11192 0.23973952531916717 5.901186702082084
26 65000 49036 1468 11796 0.24055795741903907 5.927400277347255
27 67500 51444 1585 12417 0.2413692558898997 5.947321359147812
28 70000 53885 1693 13026 0.2417370325693607 5.969843184559711
29 72500 56280 1804 13669 0.24287491115849325 5.988610518834399
30 75000 58685 1905 14275 0.24324784868365 6.0059129249382295
31 77500 61012 2020 14884 0.24395200944076575 6.025912935160297
32 80000 63375 2128 15529 0.24503353057199212 6.044954635108481
33 82500 65758 2230 16144 0.24550625019009095 6.05781806015998
34 85000 68103 2353 16755 0.24602440421126823 6.073124531958944
35 87500 70507 2463 17374 0.2464152495496901 6.089083353425901
36 90000 72882 2571 17988 0.24680991191240637 6.0997502812765845
37 92500 75198 2674 18589 0.2472007234234953 6.107861911221043
38 95000 77597 2795 19249 0.2480637138033687 6.1236903488536925
39 97500 80036 2917 19876 0.24833824778849517 6.133539907041831
40 100000 82446 3021 20500 0.24864759964097713 6.1409649952696315
41 102500 84856 3151 21114 0.24882153294993872 6.150808428396342
42 105000 87250 3274 21748 0.24926074498567335 6.162223495702006
43 107500 89530 3379 22308 0.24916787668937787 6.166927286942924
44 110000 91960 3488 22905 0.24907568508046976 6.175543714658547
45 112500 94371 3603 23514 0.24916552754553836 6.183213063335135
