tick openCount fleetSize meanLoad peakLoad lockups overCapShare
0 1200 76479 0.5311041666666667 0.95 0 0.2375
1 1200 76501 0.5312569444444445 0.95 0 0.22083333333333333
2 1200 76525 0.5314236111111111 0.9166666666666666 0 0.20083333333333334
3 1200 76549 0.5315902777777778 0.8833333333333333 0 0.17
4 1200 76566 0.5317083333333333 0.8666666666666667 0 0.14416666666666667
5 1200 76579 0.531798611111111 0.8416666666666667 0 0.11083333333333334
6 1200 76595 0.5319097222222222 0.8333333333333334 0 0.07
7 1200 76602 0.5319583333333333 0.8 0 0.04083333333333333
8 1200 76607 0.5319930555555555 0.7833333333333333 0 0.02666666666666667
9 1200 76615 0.5320486111111111 0.775 0 0.02
10 1200 76611 0.5320208333333333 0.7666666666666667 0 0.014166666666666666
11 1200 76614 0.5320416666666667 0.7583333333333333 0 0.014166666666666666
12 1200 76613 0.5320347222222223 0.7583333333333333 0 0.015
13 1200 76614 0.5320416666666667 0.7666666666666667 0 0.015
14 1200 76618 0.5320694444444445 0.7583333333333333 0 0.018333333333333333
15 1200 76621 0.5320902777777777 0.7666666666666667 0 0.015
16 1200 76623 0.5321041666666666 0.7666666666666667 0 0.015833333333333335
17 1200 76613 0.5320347222222223 0.7583333333333333 0 0.011666666666666667
18 1200 76613 0.5320347222222223 0.7666666666666667 0 0.0075
19 1200 76611 0.5320208333333333 0.7583333333333333 0 0.011666666666666667
20 1200 76608 0.532 0.7666666666666667 0 0.009166666666666667
21 1200 76615 0.5320486111111111 0.7583333333333333 0 0.01
22 1200 76616 0.5320555555555556 0.7583333333333333 0 0.004166666666666667
23 1200 76616 0.5320555555555556 0.7666666666666667 0 0.009166666666666667
24 1200 76613 0.5320347222222223 0.7583333333333333 0 0.011666666666666667
25 1200 76614 0.5320416666666667 0.7583333333333333 0 0.0033333333333333335
26 1200 76619 0.5320763888888889 0.7583333333333333 0 0.006666666666666667
27 1200 76617 0.5320625 0.7666666666666667 0 0.006666666666666667
28 1200 76620 0.5320833333333334 0.775 0 0.006666666666666667
29 1200 76621 0.5320902777777777 0.7666666666666667 0 0.005833333333333334
30 1200 76622 0.5320972222222222 0.7583333333333333 0 0.006666666666666667
31 1200 76622 0.5320972222222222 0.7583333333333333 0 0.008333333333333333
32 1200 76627 0.5321319444444444 0.7666666666666667 0 0.008333333333333333
33 1200 76625 0.5321180555555555 0.7666666666666667 0 0.004166666666666667
34 1200 76626 0.532125 0.7583333333333333 0 0.0025
35 1200 76617 0.5320625 0.7666666666666667 0 0.005833333333333334
36 1200 76619 0.5320763888888889 0.7583333333333333 0 0.008333333333333333
37 1200 76617 0.5320625 0.775 0 0.005
38 1200 76612 0.5320277777777779 0.7666666666666667 0 0.008333333333333333
39 1200 76613 0.5320347222222223 0.7666666666666667 0 0.0075
40 1200 76617 0.5320625 0.7583333333333333 0 0.006666666666666667
41 1200 76616 0.5320555555555556 0.7583333333333333 0 0.0033333333333333335
42 1200 76619 0.5320763888888889 0.7666666666666667 0 0.0033333333333333335
43 1200 76615 0.5320486111111111 0.7583333333333333 0 0.005
44 1200 76618 0.5320694444444445 0.7666666666666667 0 0.004166666666666667
45 1200 76617 0.5320625 0.7666666666666667 0 0.0033333333333333335
