tick lo hi live mean spread devi
0 2.0703499856389307e-05 0.9999274400439696 12000 0.4983674832361589 0.08313232063247841 0.2883267601740747
1 0.00493820769142983 0.9848462483108139 12000 0.5003567080279285 0.027487382347474307 0.16579319149915145
2 0.09064592961286791 0.9613215436976048 12000 0.4993383225402472 0.012566822134642996 0.11210183823043669
3 0.053412514441090686 0.8538339936761112 12000 0.4994003866640565 0.008276158396532157 0.09097339389366628
4 0.10104552009270118 0.9377797376310066 12000 0.49939378476333696 0.006501696999336943 0.08063310113927742
5 0.1619841941174764 0.8075349212310408 12000 0.49992337315656066 0.0056043311122707 0.07486208060340495
6 0.11133624025452399 0.8527464024717539 12000 0.4985307686866447 0.005508440747511574 0.07421887056208532
7 0.08377135719526763 0.9173093310055684 12000 0.4978606496851833 0.005076429097295954 0.07124906383452315
8 0.164027484451646 0.8855378279416957 12000 0.4976932189328388 0.004917699532437817 0.07012631127071933
9 0.1440165361396155 0.892769552217888 12000 0.500015205594038 0.004729088794996266 0.06876837060012594
10 0.1828472054841288 0.860382685932569 12000 0.5007010581753799 0.004536902780520115 0.06735653480190408
11 0.07877383078659089 0.949487850902216 12000 0.5010930244814044 0.004508033519635995 0.06714189094474474
12 0.1292639815153873 0.871135229228837 12000 0.5019718380428608 0.004441101760452164 0.06664159182111547
13 0.17914292770310636 0.9331890213609284 12000 0.5012970011060184 0.004614096351070437 0.06792714001833462
14 0.13122553495065176 0.8010481701370283 12000 0.5004096598379958 0.004685591305930827 0.06845137913826738
15 0.16467149947525805 0.8069203819699287 12000 0.5011815297657197 0.004679770390291655 0.06840884731006402
16 0.19752451505433496 0.8510104479780491 12000 0.5013751234975872 0.0044515565782911985 0.06671998634810411
17 0.1492923147659821 0.8540050605213608 12000 0.5007503869748114 0.004579661522200838 0.06767319648280874
18 0.1312681690747488 0.8544096145393074 12000 0.5012314290875591 0.004514736213683763 0.06719178680228531
19 0.05240329506500124 0.9528219168736793 12000 0.5002798401048291 0.004605730170977213 0.06786553006480693
20 0.10291202032121599 0.8433069945661358 12000 0.500564323668197 0.004500481788202221 0.06708563026611751
21 0.13637998432553694 0.8499634114322707 12000 0.5001865721056133 0.004488235701463832 0.06699429603678086
22 0.15272796095643457 0.9457481565834195 12000 0.5013117646904869 0.004575867074318847 0.06764515558647823
23 0.06737178136390509 0.8557166722503206 12000 0.5008191627237779 0.004720016640941427 0.06870237725829745
24 0.16620344769866663 0.8908482438410887 12000 0.5008635462586012 0.004521871432639727 0.0672448617564177
25 0.15247087278921034 0.819148857277836 12000 0.5001042485202315 0.004646546348393919 0.06816558037891204
26 0.17533440476323908 0.8406262200977989 12000 0.5014784786485386 0.004615093995991015 0.06793448311418153
27 0.14330347863022608 0.9518870637837533 12000 0.5004933062123825 0.004631379236758483 0.06805423746364721
28 0.1917893567429219 0.9232820927086837 12000 0.5016757969651022 0.004734739200925273 0.06880944121939425
29 0.17958752921246313 0.8482343401981212 12000 0.5002745837181081 0.004513469982808927 0.06718236362922138
30 0.1722219248170303 0.9061785730931963 12000 0.5017989594665369 0.004438801825151277 0.06662433358129204
31 0.17891243758905467 0.8566198994432248 12000 0.5014984939899213 0.0047132276678336854 0.06865295090404844
32 0.12455696859386267 0.8574668684480111 12000 0.5030152078303303 0.004729998267027638 0.06877498285734165
33 0.06042463174163748 0.8371940194603689 12000 0.5010376932226641 0.004561537174479099 0.06753915290021854
34 0.20623704358171963 0.9415666867452025 12000 0.5011505813970465 0.004467587645444346 0.06684001530104812
35 0.12237115301313833 0.8435773386590917 12000 0.5015602450225412 0.0045803728112010725 0.06767845160168097
36 0.021612210727862735 0.9082546419150637 12000 0.5015990628840339 0.0044593655234673475 0.06677848099101497
37 0.1452578626314026 0.9160395178929231 12000 0.5031658259842824 0.00441500420441822 0.06644549799962537
38 0.1677030532012431 0.8483783727079233 12000 0.5033038262931236 0.004385805948707199 0.06622541769371636
39 0.12226422126644304 0.8131098676055528 12000 0.5030389867798079 0.004346861415092342 0.06593073194719093
40 0.07412931963820374 0.9044321622246553 12000 0.5017684581590327 0.004625229206455327 0.06800903768217373
41 0.15738034801204823 0.9244790611544941 12000 0.5008752945750521 0.004631631023599191 0.06805608733683705
42 0.1722274590876367 0.857697612458701 12000 0.5002300458054421 0.004547355267801053 0.06743408090721674
43 0.12212536923236217 0.8974889960579249 12000 0.5011293405051507 0.004659357448346002 0.06825948614182502
44 0.12763827502311403 0.8642623063373298 12000 0.5011519843955269 0.004623220130023017 0.06799426542012948
45 0.17432781806424894 0.8929081769838041 12000 0.5004086531409313 0.004581539270412574 0.06768706870896814
46 0.10768257310090457 0.8332858184283899 12000 0.50035290944119 0.004590218712859528 0.06775115285262331
47 0.1450136832474543 0.844546292301594 12000 0.4997859246204016 0.004628659220945744 0.06803425035190543
48 0.08715097975096814 0.8565171821105306 12000 0.4979004300262352 0.004676913402509938 0.06838796240940315
49 0.0611422381662855 0.8263678667555814 12000 0.4983301658264105 0.004651441667450853 0.06820147848434704
50 0.1483004059743771 0.8790285776957464 12000 0.5013877104480574 0.004648873441891834 0.06818264765973696
51 0.05115396913451231 0.8315952869458099 12000 0.5010078045324491 0.004602346868012595 0.06784059896560905
52 0.12414853944383464 0.958375941464193 12000 0.5020309900790235 0.004692211391576813 0.06849971818611236
53 0.07990751262002982 0.9499045148773735 12000 0.5015102510758144 0.004600903473749252 0.0678299600010884
54 0.14431087561883216 0.8230533184870983 12000 0.501052722983575 0.004664785084782053 0.06829923194869802
